DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
2023-09-21,3588.55,3605.0,3528.0,3606.05,3586.0,3585.3,3559.97,3625.0,2926.1,2004073,7134447228.5,151219
2023-09-22,3584.0,3633.75,3565.05,3585.3,3604.0,3603.65,3605.09,3633.75,2926.1,1989083,7170827508.35,152937
2023-09-25,3602.5,3620.0,3558.65,3603.65,3569.8,3577.15,3579.7,3633.75,2926.1,1238778,4434448253.85,82519
2023-09-26,3567.6,3594.95,3536.0,3577.15,3590.0,3585.7,3561.51,3633.75,2926.1,1726062,6147386173.95,113798
2023-09-27,3590.0,3614.0,3555.7,3585.7,3586.0,3589.3,3587.16,3633.75,2926.1,1541134,5528296992.85,104230
2023-09-28,3600.0,3602.8,3527.35,3589.3,3549.0,3536.75,3558.09,3633.75,2926.1,1755753,6247135882.45,127091
2023-09-29,3537.2,3568.45,3505.55,3536.75,3525.0,3528.6,3536.95,3633.75,2926.1,2243791,7936167438.85,134776
2023-10-03,3534.2,3534.2,3480.1,3528.6,3507.1,3513.85,3508.19,3633.75,2974.0,1948148,6834465531.05,134041
2023-10-04,3486.3,3548.0,3477.3,3513.85,3545.0,3537.75,3504.95,3633.75,2974.0,1788138,6267337422.0,102259
2023-10-05,3554.0,3624.0,3551.2,3537.75,3590.0,3589.35,3589.48,3633.75,2974.0,2990768,10735300327.6,195202
2023-10-06,3591.0,3634.95,3575.05,3589.35,3621.25,3621.4,3606.29,3634.95,2974.0,2075691,7485547134.95,157117
2023-10-09,3645.05,3679.0,3631.0,3621.4,3633.0,3638.35,3652.75,3679.0,3005.0,4233074,15462357801.5,337303
2023-10-10,3640.05,3648.0,3601.35,3638.35,3629.5,3628.9,3623.9,3679.0,3005.0,1848148,6697511578.25,170957
2023-10-11,3650.0,3650.0,3605.0,3628.9,3613.0,3609.9,3625.72,3679.0,3005.0,2426417,8797500442.75,151957
