DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES,Return,MA_20,MA_50,Target
2025-04-01,3572.7,3584.0,3525.0,3606.15,3556.45,3550.8,3548.01,4592.25,3457.0,2618493,9290445221.4,167344,-0.015348779168919746,3569.315,3802.9590000000003,0
2025-04-02,3544.0,3564.1,3530.05,3550.8,3545.0,3543.95,3547.15,4592.25,3457.0,1764313,6258290323.8,80651,-0.0019291427283993912,3571.8600000000006,3792.2819999999997,0
2025-04-03,3491.0,3502.0,3396.15,3543.95,3403.3,3403.15,3422.75,4592.25,3396.15,4537821,15531809156.15,248807,-0.039729680159144354,3565.415,3779.6280000000006,0
2025-04-04,3362.6,3399.65,3295.5,3403.15,3304.85,3299.4,3318.1,4592.25,3295.5,5317367,17643541008.05,216133,-0.030486461072829596,3553.0325,3762.4840000000004,0
2025-04-07,3100.0,3291.4,3056.05,3299.4,3285.0,3274.05,3167.51,4592.25,3056.05,6623955,20981463559.1,386019,-0.0076832151300235685,3536.6549999999997,3745.0559999999996,1
2025-04-08,3302.05,3349.0,3255.3,3274.05,3292.8,3292.95,3296.22,4592.25,3056.05,5557558,18318927917.45,236248,0.005772666880468957,3520.7424999999994,3727.868,0
2025-04-09,3260.55,3270.0,3212.05,3292.95,3239.0,3246.6,3248.58,4592.25,3056.05,2990265,9714105049.5,184251,-0.014075524985195598,3503.59,3711.4970000000003,0
2025-04-11,3289.55,3298.95,3206.0,3246.6,3238.0,3231.5,3243.04,4592.25,3056.05,7108961,23054618625.45,354463,-0.004651019528121747,3486.4,3695.3210000000004,1
2025-04-15,3314.4,3314.4,3238.6,3231.5,3255.0,3248.2,3257.87,4592.25,3056.05,3512160,11442174035.7,166106,0.005167878694104955,3473.5,3678.2889999999998,1
2025-04-16,3248.2,3278.1,3229.0,3248.2,3274.0,3273.8,3260.92,4592.25,3056.05,2384391,7775304840.9,131199,0.007881288098023687,3461.6375,3661.764,1
2025-04-17,3245.5,3303.6,3218.0,3273.8,3297.4,3298.9,3262.86,4592.25,3056.05,2932346,9567836127.7,183984,0.007666931394709531,3451.6974999999998,3645.494,1
2025-04-21,3290.1,3354.0,3284.1,3298.9,3319.0,3321.6,3325.96,4592.25,3056.05,2432946,8091878392.8,127748,0.006881081572645442,3440.1549999999997,3630.4630000000006,0
2025-04-22,3322.6,3333.9,3295.0,3321.6,3312.5,3314.4,3315.22,4592.25,3056.05,2710498,8985899446.7,151282,-0.0021676300578034047,3431.0199999999995,3615.3779999999997,1
2025-04-23,3365.0,3420.9,3337.3,3314.4,3405.0,3413.0,3398.75,4592.25,3056.05,3543923,12044899557.3,164989,0.029748974173304354,3423.5125,3601.4970000000003,0
2025-04-24,3401.1,3412.5,3387.7,3413.0,3406.0,3401.6,3398.95,4592.25,3056.05,2252175,7655036870.7,158061,-0.0033401699384705275,3414.6875,3587.7070000000003,1
2025-04-25,3420.0,3477.8,3405.0,3401.6,3434.0,3448.0,3442.01,4592.25,3056.05,2742991,9441414787.6,151400,0.013640639698965229,3405.6400000000003,3575.012,0
2025-04-28,3435.0,3457.8,3405.0,3448.0,3441.0,3443.5,3438.58,4592.25,3056.05,1593296,5478682188.5,94204,-0.0013051044083526309,3394.9275000000002,3563.2940000000003,1
2025-04-29,3455.0,3495.0,3430.4,3443.5,3473.0,3472.5,3470.18,4592.25,3056.05,1578332,5477091995.8,95060,0.00842166400464639,3386.7625,3552.005,0
2025-04-30,3472.0,3509.9,3366.0,3472.5,3431.8,3453.7,3464.02,4592.25,3056.05,2809332,9731586389.3,129048,-0.00541396688264939,3376.8875,3541.808,0
2025-05-02,3472.0,3491.5,3420.0,3453.7,3438.0,3444.7,3450.76,4592.25,3056.05,2115624,7300505304.3,124212,-0.0026059009178561743,3368.815,3531.699,1
2025-05-05,3450.0,3504.5,3446.4,3444.7,3454.6,3454.3,3466.59,4592.25,3056.05,1284443,4452637028.7,96657,0.0027868900049352607,3363.9900000000002,3522.5819999999994,1
2025-05-06,3460.0,3473.0,3437.0,3454.3,3451.6,3460.0,3458.05,4592.25,3056.05,1324763,4581101196.3,65526,0.001650117245172611,3359.7925000000005,3513.085,0
2025-05-07,3420.6,3459.5,3420.6,3460.0,3448.0,3445.1,3442.07,4592.25,3056.05,1477128,5084383270.5,89334,-0.0043063583815029505,3361.8900000000003,3503.897,1
2025-05-08,3448.0,3477.0,3428.7,3445.1,3434.2,3448.9,3451.58,4592.25,3056.05,2543591,8779405820.4,116139,0.0011030158776232923,3369.3650000000002,3495.4109999999996,0
2025-05-09,3399.0,3446.2,3398.1,3448.9,3439.9,3440.3,3428.44,4592.25,3056.05,2531757,8679986664.6,151453,-0.0024935486676911367,3377.6775000000002,3488.535,1
2025-05-12,3505.0,3630.5,3502.2,3440.3,3626.5,3620.4,3577.93,4592.25,3056.05,2228678,7974051782.1,146104,0.052350085748335884,3394.05,3485.355,0
2025-05-13,3620.4,3623.0,3510.5,3620.4,3518.0,3515.0,3541.51,4592.25,3056.05,3062887,10847250162.2,221289,-0.029112805214893456,3407.47,3479.935,1
2025-05-14,3521.0,3561.0,3508.6,3515.0,3547.0,3548.7,3543.04,4592.25,3056.05,2119499,7509459955.3,136543,0.009587482219061139,3423.3300000000004,3477.3969999999995,1
2025-05-15,3564.0,3600.0,3514.1,3548.7,3576.5,3579.9,3565.55,4592.25,3056.05,3548330,12651735793.0,172937,0.008791951982416224,3439.915,3476.4040000000005,0
2025-05-16,3593.9,3593.9,3546.1,3579.9,3561.3,3561.3,3559.81,4592.25,3056.05,1666727,5933224873.8,117749,-0.005195675856867532,3454.29,3475.3790000000004,0
2025-05-19,3550.0,3550.0,3503.7,3561.3,3518.0,3518.8,3522.37,4592.25,3056.05,2537377,8937585448.8,129050,-0.011933844382669201,3465.2850000000008,3476.0900000000006,0
2025-05-20,3531.8,3558.0,3494.0,3518.8,3503.0,3498.3,3515.81,4592.25,3056.05,2038374,7166541410.9,138343,-0.005825849721495913,3474.12,3476.195,1
2025-05-21,3508.0,3537.0,3498.3,3498.3,3521.1,3525.8,3523.98,4592.25,3056.05,1440153,5075075089.3,72782,0.007860961038218539,3484.69,3476.07,0
2025-05-22,3495.0,3497.8,3451.3,3525.8,3483.4,3477.0,3473.54,4592.25,3056.05,2034383,7066503817.8,138574,-0.01384083044982709,3487.8900000000003,3474.669,1
2025-05-23,3477.0,3535.0,3465.6,3477.0,3508.0,3514.6,3511.99,4592.25,3056.05,1274331,4475440377.4,71383,0.010813920046016667,3493.54,3472.9289999999996,1
2025-05-26,3521.0,3545.0,3510.1,3514.6,3538.0,3537.3,3536.37,4592.25,3056.05,967470,3421330419.5,67043,0.006458771979741762,3498.005,3471.4510000000005,0
2025-05-27,3532.0,3540.0,3483.1,3537.3,3501.0,3498.7,3500.34,4592.25,3056.05,2467680,8637718829.7,165908,-0.010912277725949271,3500.7650000000003,3469.632,0
2025-05-28,3520.0,3529.0,3493.0,3498.7,3500.1,3497.7,3501.32,4592.25,3056.05,1222933,4281880586.6,80594,-0.00028582044759484226,3502.025,3468.08,1
2025-05-29,3504.7,3532.5,3486.5,3497.7,3494.0,3498.1,3500.24,4592.25,3056.05,3188072,11159021439.9,146463,0.00011436086571170456,3504.2450000000003,3467.9180000000006,0
2025-05-30,3490.0,3506.7,3453.1,3498.1,3460.0,3463.4,3473.8,4592.25,3056.05,3404365,11826074213.6,104081,-0.009919670678368187,3505.1800000000003,3466.965,0
2025-06-02,3450.0,3460.0,3418.6,3463.4,3445.8,3449.8,3441.46,4592.25,3056.05,1877585,6461635240.3,105414,-0.003926777155396355,3504.9550000000004,3466.007,0
2025-06-03,3446.0,3473.5,3400.5,3449.8,3411.4,3405.2,3418.44,4592.25,3056.05,2848125,9736154029.8,195278,-0.012928285697721753,3502.215,3463.062,0
2025-06-04,3389.0,3394.8,3370.0,3405.2,3381.0,3380.9,3382.86,4592.25,3056.05,2544807,8608717239.6,185107,-0.007136144719840143,3499.0049999999997,3460.738,0
2025-06-05,3409.0,3409.0,3363.7,3380.9,3374.0,3371.1,3380.39,4592.25,3056.05,3584683,12117623680.0,129913,-0.002898636457748016,3495.1150000000002,3456.897,1
2025-06-06,3371.1,3390.9,3358.7,3371.1,3388.0,3384.2,3376.59,4592.25,3056.05,2070390,6990855288.4,94941,0.0038859719379431557,3492.31,3453.019,1
2025-06-09,3400.0,3434.0,3390.9,3384.2,3423.0,3421.9,3420.68,4592.25,3056.05,1718678,5879053289.4,73412,0.011140003545889732,3482.3850000000007,3448.8780000000006,1
2025-06-10,3440.0,3485.8,3423.2,3421.9,3461.9,3462.9,3462.61,4592.25,3056.05,2419874,8379090971.3,109195,0.011981647622665736,3479.78,3444.981,1
2025-06-11,3470.0,3489.0,3449.1,3462.9,3470.8,3471.9,3471.9,4592.25,3056.05,2847013,9884549517.9,163525,0.0025989777354240573,3475.9399999999996,3441.703,0
2025-06-12,3471.9,3474.7,3423.2,3471.9,3432.0,3434.2,3447.13,4592.25,3056.05,4060134,13995794452.1,164333,-0.010858607678792653,3468.655,3437.3630000000003,1
2025-06-13,3393.2,3450.5,3393.2,3434.2,3447.4,3445.7,3436.18,4592.25,3056.05,2178493,7485689915.9,140820,0.0033486692679518537,3462.875,3434.1539999999995,1
2025-06-16,3440.0,3509.0,3426.2,3445.7,3496.2,3496.3,3493.01,4592.25,3056.05,1934088,6755788711.2,109847,0.01468496967234545,3461.75,3433.0640000000003,1
2025-06-17,3510.0,3520.0,3488.1,3496.3,3512.0,3515.3,3511.25,4592.25,3056.05,2111940,7415551942.2,145498,0.005434316277207252,3462.6,3432.491,0
2025-06-18,3519.1,3538.0,3443.1,3515.3,3455.0,3451.4,3483.78,4592.25,3056.05,2696327,9393397237.6,103359,-0.01817768042556822,3458.88,3433.4559999999997,0
2025-06-19,3450.0,3451.0,3413.0,3451.4,3420.0,3424.0,3426.54,4592.25,3056.05,2672768,9158351862.5,125292,-0.00793880744045894,3456.2300000000005,3435.948,1
2025-06-20,3425.0,3446.3,3410.9,3424.0,3429.1,3435.7,3432.16,4592.25,3056.05,2351248,8069855528.7,100374,0.003417056074766389,3452.285,3439.1810000000005,0
2025-06-23,3415.0,3425.0,3370.0,3435.7,3392.0,3393.6,3392.2,4592.25,3056.05,3123421,10595271627.8,153401,-0.01225368920452885,3445.1,3441.1940000000004,0
2025-06-24,3434.6,3442.1,3382.0,3393.6,3392.0,3390.4,3408.47,4592.25,3056.05,3403048,11599175864.4,178183,-0.0009429514380009385,3439.685,3444.07,1
2025-06-25,3407.3,3450.0,3400.0,3390.4,3443.0,3444.8,3422.33,4592.25,3056.05,1757699,6015421913.0,101280,0.016045304388862647,3437.04,3448.336,0
2025-06-26,3444.8,3451.4,3415.3,3444.8,3443.0,3441.8,3437.7,4592.25,3056.05,2879106,9897501153.9,143687,-0.0008708778448676124,3434.225,3452.2080000000005,0
2025-06-27,3455.0,3466.4,3431.0,3441.8,3445.0,3441.1,3445.16,4592.25,3056.05,1778433,6126978962.5,122369,-0.00020338195130464864,3433.1099999999997,3455.5539999999996,1
2025-06-30,3439.9,3464.9,3430.0,3441.1,3460.0,3462.0,3452.05,4592.25,3056.05,1468351,5068827379.2,130938,0.006073639243265205,3433.72,3458.816,0
